variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,seconds,requested_keep,realized_keep,baseline_tp_rematched_surviving,newly_recovered_tp,lost_tp,removed_fp,introduced_fp,delta
F_hgb_geometry_tracklet_r0.98,6bba,128,128,0.901229397342268,0.09326424870466321,18,68,107,0.9789568944334398,0.9032115307369027,128,0.9125379556073691,103289,5552,5768,2110642,121.37950600404292,0.98,0.9800725033049973,103281,8,137,20,9,0.0009411907179038836
F_hgb_geometry_tracklet_r0.98,pooled,199,199,0.899118251530353,0.09504132231404959,23,91,128,0.981853071216423,0.9032869445300444,199,0.9127910767614494,122058,6870,6825,4051259,196.67201639013365,0.98,0.9800594481391552,122050,8,151,24,9,0.00101706254280709
F_hgb_geometry_tracklet_r0.99,44b6,71,71,0.8878221801844408,0.10416666666666667,5,22,21,0.9876126268600331,0.9031038246548307,71,0.9135204913214974,18773,1319,1053,1960430,76.457346085459,0.99,0.9900511582572862,18773,0,10,3,0,0.000999348208031714
F_hgb_geometry_tracklet_r0.99,6bba,128,128,0.9019080939127704,0.09278350515463918,18,69,107,0.9797978875993882,0.9029908410661219,128,0.9122691915815858,103374,5560,5683,2132203,121.14661556342617,0.99,0.9900843116759853,103368,6,50,10,7,0.0006724266921206423
F_hgb_geometry_tracklet_r0.99,pooled,199,199,0.8997142057424021,0.09504132231404959,23,91,128,0.9825860609034374,0.9030084383170703,199,0.9125125705484753,122147,6879,6736,4092633,197.60396164888516,0.99,0.9900684304351055,122141,6,60,13,7,0.0007385563298329956
F_hgb_geometry_tracklet_r0.995,44b6,71,71,0.8880219416465692,0.1,5,24,21,0.9878567106609759,0.9029366513360959,71,0.9129366513360959,18779,1321,1047,1970304,77.23786563659087,0.995,0.9950376995449793,18779,0,4,1,0,0.00041550822263025644
F_hgb_geometry_tracklet_r0.995,6bba,128,128,0.9022711210770157,0.09375,18,67,107,0.9801895373421462,0.9029002289702664,128,0.9122752289702665,103412,5556,5645,2142959,120.3701599468477,0.995,0.9950788393341806,103410,2,8,9,2,0.0006784640808012998
F_hgb_geometry_tracklet_r0.995,pooled,199,199,0.9000515615792575,0.09504132231404959,23,91,128,0.9829250614910754,0.9029059023922625,199,0.9124100346236675,122191,6877,6692,4113263,197.60802558343858,0.995,0.9950591324403614,122189,2,12,10,2,0.000636020405025195
F_hgb_quality_fork_protected_r0.5,44b6,71,71,0.7807129669081097,0.09803921568627451,5,25,21,0.8912389776535187,0.826671332205792,71,0.8364752537744194,16491,1297,3335,990304,46.10874215187505,0.5,0.5001206991460156,16116,375,2667,374,349,-0.07604588933904621
F_hgb_quality_fork_protected_r0.5,6bba,128,128,0.6030897784687136,0.09090909090909091,18,73,107,0.6457830924089533,0.6331602733358056,128,0.6422511824267146,68277,4155,40780,1077649,88.76982364431024,0.5,0.5004042149801468,66992,1285,36426,2507,1099,-0.26934558246275053
