embryo,model_id,bin,n,mean_score,annotation_rate
44b6,hgb_geometry_time_leaf15,5,119,0.5159735679626465,0.9243697478991597
44b6,hgb_geometry_time_leaf7,0,2873923,0.0474311001598835,0.006064880652682762
44b6,hgb_geometry_time_leaf7,1,15056,0.11763130128383636,0.06761424017003188
44b6,hgb_geometry_time_leaf7,2,1033,0.24222493171691895,0.2584704743465634
44b6,hgb_geometry_time_leaf7,3,319,0.3393785357475281,0.6238244514106583
44b6,hgb_geometry_time_leaf7,4,195,0.4246610999107361,0.8923076923076924
44b6,hgb_predicted_temporal_leaf15,0,2815794,0.046993423253297806,0.00648804564538457
44b6,hgb_predicted_temporal_leaf15,1,63383,0.13652727007865906,0.010412886736191092
44b6,hgb_predicted_temporal_leaf15,2,9865,0.23702800273895264,0.013786112519006589
44b6,hgb_predicted_temporal_leaf15,3,1435,0.330756276845932,0.014634146341463415
44b6,hgb_predicted_temporal_leaf15,4,49,0.43408074975013733,0.04081632653061224
44b6,hgb_predicted_temporal_leaf7,0,2820687,0.047394827008247375,0.006487426644643663
44b6,hgb_predicted_temporal_leaf7,1,61841,0.1431758999824524,0.010882747691660873
44b6,hgb_predicted_temporal_leaf7,2,7765,0.2311120629310608,0.014166130070830651
44b6,hgb_predicted_temporal_leaf7,3,233,0.3192678987979889,0.02575107296137339
44b6,logistic_all_C0.1,0,2856310,0.029234714806079865,0.006351201375200871
44b6,logistic_all_C0.1,1,30998,0.12719318270683289,0.0262597586941093
44b6,logistic_all_C0.1,2,2530,0.23484542965888977,0.043478260869565216
44b6,logistic_all_C0.1,3,481,0.33839672803878784,0.04365904365904366
44b6,logistic_all_C0.1,4,148,0.44551312923431396,0.006756756756756757
44b6,logistic_all_C0.1,5,43,0.5370720028877258,0.023255813953488372
44b6,logistic_all_C0.1,6,11,0.6318953037261963,0.0
44b6,logistic_all_C0.1,7,5,0.7184436917304993,0.0
44b6,logistic_all_C1,0,2855011,0.029069475829601288,0.006345334571390443
44b6,logistic_all_C1,1,32054,0.12742140889167786,0.025987396268796405
44b6,logistic_all_C1,2,2707,0.23527972400188446,0.0421130402659771
44b6,logistic_all_C1,3,507,0.337810218334198,0.04142011834319527
44b6,logistic_all_C1,4,172,0.44293639063835144,0.01744186046511628
44b6,logistic_all_C1,5,54,0.5360391139984131,0.018518518518518517
44b6,logistic_all_C1,6,15,0.6347585320472717,0.0
44b6,logistic_all_C1,7,6,0.7319722771644592,0.0
44b6,logistic_all_C10,0,2854837,0.029046237468719482,0.006346071597082425
44b6,logistic_all_C10,1,32205,0.1274569183588028,0.025803446669771773
44b6,logistic_all_C10,2,2721,0.23540472984313965,0.04189636163175303
44b6,logistic_all_C10,3,512,0.3377764821052551,0.04296875
44b6,logistic_all_C10,4,173,0.4426725208759308,0.017341040462427744
44b6,logistic_all_C10,5,57,0.5361961126327515,0.017543859649122806
44b6,logistic_all_C10,6,15,0.637319028377533,0.0
44b6,logistic_all_C10,7,6,0.7344542145729065,0.0
44b6,logistic_appearance_quality_C0.1,0,2859263,0.029703732579946518,0.0064460666962080785
44b6,logistic_appearance_quality_C0.1,1,27883,0.12735015153884888,0.02040669942258724
44b6,logistic_appearance_quality_C0.1,2,2596,0.2367737591266632,0.02580893682588598
44b6,logistic_appearance_quality_C0.1,3,532,0.33880850672721863,0.03571428571428571
44b6,logistic_appearance_quality_C0.1,4,172,0.44047465920448303,0.011627906976744186
44b6,logistic_appearance_quality_C0.1,5,59,0.5414993762969971,0.0
44b6,logistic_appearance_quality_C0.1,6,12,0.6232302784919739,0.0
44b6,logistic_appearance_quality_C0.1,7,9,0.7392354607582092,0.0
44b6,logistic_appearance_quality_C1,0,2857934,0.029540417715907097,0.006445915126101582
44b6,logistic_appearance_quality_C1,1,28934,0.12765930593013763,0.01973456832791871
44b6,logistic_appearance_quality_C1,2,2779,0.2368299514055252,0.02626844188557035
